Height;Volume
0;0
16;41
31;96
47;158
62;228
79;306
95;391
110;484
126;583
142;689
157;801
173;919
189;1042
204;1172
220;1305
236;1445
252;1589
268;1737
283;1890
299;2046
314;2206
330;2371
346;2539
361;2710
377;2884
394;3061
409;3241
425;3424
441;3609
456;3797
472;3988
474;4020,21456762449
476;4051,91482039963
477;4119,12916423469
482;4119,12916423469
483;4129,12916423469
491;4299,27312811167
496;4299,27312811167
499;4354,30292948534
509;4456,34332908481
514;4551,05423146589
517;4551,05423146589
518;4561,05423146589
522;4619,05559891807
524;4649,66475585626
531;4740,7417764097
532;4750,7417764097
538;4830,24758539825
540;4956,06754675398
545;5579,17537022615
549;4956,06754675398
551;4976,06754675398
557;5066,5666862954
560;5171,56974196468
565;5171,56974196468
570;5228,06550180149
573;5272,1764808972
575;5292,1764808972
580;5434,20278965782
586;5434,20278965782
591;5504,56693108739
597;5582,11830277893
602;5656,11159131027
603;5666,11159131027
604;5676,11159131027
605;5686,11159131027
615;5825,6223660633
616;5846,66635938466
618;5866,66635938466
619;5876,66635938466
626;5975,74762284314
627;5985,74762284314
634;6074,08689080014
647;6249,98894994183
653;6339,21252753306
654;6349,21252753306
658;6404,22241853727
664;6504,35174274385
665;6504,35174274385
666;6521,84666136531
669;6558,65157989478
670;6568,65157989478
671;7245,84203689282
672;6645,25679500997
684;6756,56011965838
688;6808,89589256311
695;6918,45153440667
696;6918,45153440667
703;7026,94273024429
707;7142,77490668462
715;7177,94006001145
717;7212,67910180978
718;7222,67910180978
721;7268,38097745606
722;7278,38097745606
729;7382,13672754136
734;7445,17333925494
735;7466,91529232696
736;7476,91529232696
742;7565,12014904725
743;7575,12014904725
748;7650,70834223362
754;7814,31541622928
763;7851,42801446458
764;7871,42801446458
771;7972,18074813679
772;7982,18074813679
774;8006,42832858338
775;8030,70325111554
784;8160,11390607585
785;8170,11390607585
790;8912,50870355948
793;8286,84931069576
796;8331,60640460568
799;8443,17117696066
804;8443,17117696066
805;8468,63344085449
806;8575,3359729513
812;8563,79827001512
813;8585,3359729513
814;8595,3359729513
815;8605,72125257387
818;8706,94025674519
820;8687,11054447176
822;8706,94025674519
824;8819,11704592149
825;8751,80700586819
830;8819,11704592149
831;8927,53222751159
832;8851,22353977355
837;8927,53222751159
838;8937,53222751159
839;8951,2450432218
840;8970,89934869699
843;9017,2797542901
849;9100,6383650534
850;9110,6383650534
852;9142,615216091
853;9154,43641188299
856;9244,6097973978
857;9203,19795614704
859;9258,0577130683
860;9258,0577130683
866;9336,37731174159
868;9361,63706834019
869;9381,63706834019
871;9405,78171701929
874;9449,7444329646
875;9469,7444329646
876;9479,7444329646
881;9589,97604249342
884;9621,91620411639
886;9621,91620411639
888;9655,20037198346
891;9694,0026927838
894;9744,53300378123
895;9749,22261715639
896;9772,30044278571
897;9777,73276093619
898;9792,30044278571
899;9870,73776847499
901;9846,35818069146
903;9870,73776847499
905;10579,1753702261
906;9918,48183177638
907;9964,63759429614
909;9966,45047536499
912;10020,5623971558
917;10088,5513015927
920;10135,0857549309
921;10145,442413048
923;10171,6999701573
925;10203,5406951161
926;10213,5406951161
927;10237,4565822582
928;10247,4565822582
929;10316,2608044927
933;10316,2608044927
934;10336,2608044927
935;10347,8677312485
936;10458,1512010899
937;10377,8947707988
939;10407,3425678685
943;10458,1512010899
944;10481,4484978381
950;10566,0081073298
951;10586,0081073298
952;10606,0081073298
953;10616,0081073298
954;10680,0917035222
957;10680,0917035222
958;10723,6465403643
960;10723,6465403643
961;10739,3807289257
963;10772,4854648026
964;10782,4854648026
965;10792,4854648026
966;10808,7243726799
967;10822,4854648026
971;10891,8469290796
972;10925,1933672241
973;10911,8469290796
974;10935,1933672241
976;11021,7299479707
977;10975,1933672241
978;10985,1933672241
980;11031,419138433
984;11087,7265952824
985;11095,0702899631
986;11115,0702899631
987;11129,1924637044
991;11216,6437464992
992;11216,6437464992
993;11226,6437464992
994;11232,3824272297
996;11264,4767062997
997;11277,5368077495
998;11400,9639475022
1001;11345,6900813524
1007;11429,6603726324
1008;11442,8555496266
1010;11462,8555496266
1011;11477,1477631615
1013;12174,3607754173
1015;11543,3738545178
1016;11551,1437029754
1023;11643,5609514845
1024;11665,0982586398
1027;11765,6986299112
1030;11763,5051229758
1031;11779,1105724558
1032;11789,1105724558
1036;11852,2255074966
1037;11870,848440541
1038;11891,5532281699
1039;11895,9130770197
1044;11976,0010745313
1046;12001,7630861593
1047;12011,7630861593
1050;12119,8199454324
1052;12145,1807225229
1055;12145,1807225229
1058;12191,1392393466
1059;12199,444340511
1060;12276,3635272775
1065;12299,9338068287
1066;12308,7126336146
1068;12346,9631683125
1075;12443,8751917861
1076;12456,6579149679
1079;12504,0606130872
1082;12557,8506894251
1083;12567,8506894251
1084;12574,7199721872
1087;12679,9768448212
1091;12679,9768448212
1094;12724,4114558456
1095;12782,6896572928
1097;12772,3291827424
1098;12807,7526252224
1104;12889,8313155702
1109;12960,9703983299
1118;13769,639465012
1122;13164,2721754858
1127;13240,0651099121
1128;13254,0641137351
1130;13329,3803676715
1136;13364,0582045904
1140;13432,1412575389
1141;13442,1412575389
1145;13583,6289907515
1146;13517,7604832971
1150;13583,6289907515
1151;13593,6289907515
1152;13610,7658320543
1153;13620,7658320543
1154;13645,6715632431
1155;13755,5087158387
