Height;Volume
0;0
19;55
37;128
57;210
75;304
94;408
114;521
132;645
151;777
170;918
188;1067
208;1225
227;1389
245;1562
264;1740
283;1927
302;2118
321;2316
339;2519
359;2729
377;2942
396;3161
415;3385
434;3613
453;3845
472;4082
490;4321
510;4565
519;6228
524;6288
528;6336
535;6420
539;6468
541;6492
544;6528
545;6540
553;6636
560;6720
563;6756
568;6816
575;6900
576;6912
581;6972
593;7116
594;7128
599;7188
606;7272
616;7392
625;7500
627;7524
632;7584
636;7632
640;7680
648;7776
652;7824
653;7836
656;7872
658;7896
662;7944
663;7956
671;8052
673;8076
681;8172
683;8196
686;8232
691;8292
692;8304
699;8388
700;8400
701;8412
704;8448
705;8460
710;8520
712;8544
713;8556
714;8568
720;8640
721;8652
722;8664
726;8712
728;8736
732;8784
741;8892
748;8976
752;9024
753;9036
766;9192
767;9204
768;9216
769;9228
776;9312
777;9324
786;9432
787;9444
791;9492
793;9516
797;9564
810;9720
811;9732
819;9828
825;9900
826;9912
833;9996
835;10020
841;10092
849;10188
850;10200
854;10248
861;10332
868;10416
874;10488
881;10572
892;10704
895;10740
896;10752
910;10920
912;10944
916;10992
922;11064
926;11112
931;11172
934;11208
940;11280
941;11292
942;11304
944;11328
945;11340
949;11388
953;11436
958;11496
964;11568
965;11580
966;11592
973;11676
979;11748
984;11778,7894736842
989;11790,1052631579
996;11805,9473684211
997;11808,2105263158
1000;11815
1006;11910,6842105263
1009;11958,5263157895
1011;11990,4210526316
1012;12006,3684210526
1013;12022,3157894737
1014;12038,2631578947
1018;12102,0526315789
1019;12118
1028;12270,5
1035;12389,1111111111
1036;12406,0555555556
1041;12484
1043;12514,5
1045;12545
1048;12590,75
1052;12651,75
1055;12697,5
1056;12712,75
1057;12728
1063;12824,9473684211
1071;12954,2105263158
1072;12970,3684210526
1076;13035
1077;13052,1111111111
1078;13069,2222222222
1083;13154,7777777778
1086;13206,1111111111
1092;13308,7777777778
1093;13325,8888888889
1098;13404,8
1104;13497,5
1106;13528,4
1108;13559,3
1119;13733,5789473684
1123;13798,8421052632
1129;13896,7368421053
1133;13962
1138;14048,3888888889
1140;14082,9444444444
1141;14100,2222222222
1144;14152,0555555556
1145;14169,3333333333
1147;14203,8888888889
1150;14255,7222222222
1151;14273
1158;14387,5789473684
1159;14403,9473684211
1163;14469,4210526316
1164;14485,7894736842
1170;14584
1173;14636,1666666667
1178;14723,1111111111
1183;14810,0555555556
1187;14879,6111111111
1190;14928,3
1191;14943,95
1192;14959,6
1195;15006,55
1199;15069,15
1204;15147,4
1205;15163,05
1206;15178,7
1207;15194,35
1214;15308,8421052632
1216;15341,7894736842
1217;15358,2631578947
1218;15374,7368421053
1228;15540,5555555556
1231;15593,2222222222
1234;15645,8888888889
1236;15681
1237;15698,5555555556
1239;15733,6666666667
1241;15768,7777777778
1247;15872,0526315789
1252;15954,6842105263
1253;15971,2105263158
1254;15987,7368421053
1259;16070,3684210526
1262;16119,9473684211
1265;16169,6315789474
1267;16202,8947368421
1270;16252,7894736842
1271;16269,4210526316
1272;16286,0526315789
1281;16435,7368421053
1282;16452,3684210526
1283;16469
1285;16502,3684210526
1286;16519,0526315789
1291;16602,4736842105
1294;16652,5263157895
1301;16769,3157894737
1307;16869,4210526316
1309;16902,7894736842
1314;16986,2105263158
1315;17002,8947368421
1316;17019,5789473684
1317;17036,2631578947
1319;17069,6315789474
1320;17086,3157894737
1321;17103
1322;17120,6111111111
1327;17208,6666666667
1329;17243,8888888889
1337;17384,7777777778
1342;17467,55
1350;17594,35
1353;17641,9
1355;17673,6
1359;17737
1362;17787,2105263158
1363;17803,9473684211
1368;17887,6315789474
1375;18004,7894736842
1381;18108
1382;18125,6666666667
1385;18178,6666666667
1390;18267
1393;18320
1394;18337,6666666667
1399;18423,2105263158
1400;18439,9473684211
1401;18456,6842105263
1407;18557,1052631579
1408;18573,8421052632
1411;18624,0526315789
1412;18640,7894736842
1413;18657,5263157895
1416;18707
1419;18755
1422;18803
1428;18899
1431;18947
1432;18963
1433;18979
1438;19064
1439;19081,6666666667
1440;19099,3333333333
1441;19117
1442;19134,6666666667
1443;19152,3333333333
1450;19276
1454;19345,7368421053
1457;19395,9473684211
1458;19412,6842105263
1461;19462,8947368421
1468;19580,0526315789
1470;19613,5263157895
1472;19647
1473;19664,7777777778
1474;19682,5555555556
1478;19753,6666666667
1482;19824,7777777778
1483;19842,5555555556
1485;19878,1111111111
1487;19913,6666666667
1488;19931,4444444444
1494;20030,8
1497;20078,65
1505;20206,25
1511;20302,7368421053
1512;20319,4736842105
1513;20336,2105263158
1514;20352,9473684211
1515;20369,6842105263
1518;20419,8947368421
1519;20436,6315789474
1520;20453,3684210526
1526;20553,7894736842
1532;20657,1666666667
1533;20674,8888888889
1536;20728,0555555556
1537;20745,7777777778
1538;20763,5
1543;20852,1111111111
1546;20905,2777777778
1549;20956,5789473684
1550;20973,3684210526
1553;21023,7368421053
1556;21074,1052631579
1557;21090,8947368421
1559;21124,4736842105
1560;21141,2631578947
1561;21158,0526315789
1569;21292,2105263158
1571;21325,6842105263
1576;21409,3684210526
1587;21593,5789473684
1593;21694,3157894737
1596;21744,6842105263
1599;21795,0526315789
1600;21811,8421052632
1604;21879
1606;21912,4736842105
1610;21979,4210526316
1614;22046,3684210526
1621;22163,5263157895
1629;22302,6666666667
1631;22337,8888888889
1633;22373,1111111111
1637;22443,5555555556
1640;22496,3888888889
1644;22561,55
1648;22624,95
1652;22688,35
1653;22704,2
1654;22720,05
1663;22864,3684210526
1673;23031,2105263158
1674;23047,8947368421
1675;23064,5789473684
1676;23081,2631578947
1686;23253
1687;23270,5
1696;23428
1697;23445,5
1703;23546,1578947368
1704;23562,7894736842
1705;23579,4210526316
1707;23612,6842105263
1709;23645,9473684211
1713;23712,4736842105
1714;23729,1052631579
1715;23745,7368421053
1716;23762,3684210526
1719;23810,6
1721;23842,2
1725;23905,4
1727;23937
1729;23968,6
1732;24016
1734;24047,6
1735;24063,4
1744;24217,1111111111
1747;24269,4444444444
1750;24321,7777777778
1752;24356,6666666667
1754;24391,5555555556
1757;24442,1578947368
1758;24458,7368421053
1762;24525,0526315789
1765;24574,7894736842
1769;24641,1052631579
1773;24707,4210526316
1786;24932,6666666667
1791;25019,6111111111
1792;25037
1795;25083,8
1799;25146,2
1801;25177,4
1802;25193
1803;25208,6
1809;25302,2
1811;25333,4
1812;25349
1813;25365,4210526316
1817;25431,1052631579
1818;25447,5263157895
1823;25529,6315789474
1826;25578,8947368421
1829;25628,1578947368
1830;25644,5789473684
1833;25695,4444444444
1835;25729,8888888889
1841;25833,2222222222
1846;25919,3333333333
1848;25953,7777777778
1852;26020,1052631579
1853;26036,4736842105
1854;26052,8421052632
1855;26069,2105263158
1856;26085,5789473684
1857;26101,9473684211
1859;26134,6842105263
1860;26151,0526315789
1863;26200,1578947368
1864;26216,5263157895
1866;26249,2631578947
1867;26265,6315789474
1868;26282
1870;26316,2222222222
1873;26367,5555555556
1876;26418,8888888889
1880;26487,3333333333
1881;26504,4444444444
1882;26521,5555555556
1889;26636,2
1893;26697,8
1894;26713,2
1895;26728,6
1900;26805,6
1901;26821
1904;26867,2
1905;26882,6
1909;26946,4736842105
1912;26994,9473684211
1914;27027,2631578947
1918;27091,8947368421
1920;27124,2105263158
1921;27140,3684210526
1922;27156,5263157895
1924;27188,8421052632
1925;27205
1927;27239,1111111111
1928;27256,1666666667
1930;27290,2777777778
1933;27341,4444444444
1934;27358,5
1936;27392,6111111111
1937;27409,6666666667
1939;27443,7777777778
1940;27460,8333333333
1941;27477,8888888889
1942;27494,9444444444
1943;27512
1944;27527,25
1949;27603,5
1950;27618,75
1952;27649,25
1958;27740,75
1959;27756
1962;27801,75
1965;27849
1968;27897
1975;28009
1976;28025
1977;28041
1978;28057
1981;28105
1984;28154,5555555556
1985;28171,3333333333
1990;28255,2222222222
1991;28272
1993;28305,5555555556
1994;28322,3333333333
1995;28339,1111111111
1996;28355,8888888889
1998;28389,4444444444
2000;28423
2001;28438,8947368421
2002;28454,7894736842
2005;28502,4736842105
2006;28518,3684210526
2007;28534,2631578947
2010;28581,9473684211
2013;28629,6315789474
2014;28645,5263157895
2016;28677,3157894737
2019;28725
2021;28755,1
2022;28770,15
2023;28785,2
2028;28860,45
2032;28920,65
2034;28950,75
2035;28965,8
2036;28980,85
2040;29042,5555555556
2043;29092,2222222222
2044;29108,7777777778
2048;29175
2051;29224,6666666667
2055;29290,8888888889
2056;29307,4444444444
2059;29355,2631578947
2060;29370,8947368421
2063;29417,7894736842
2066;29464,6842105263
2067;29480,3157894737
2070;29527,2105263158
2077;29637,5
2078;29654
2079;29670,5
2081;29703,5
2082;29720
2083;29736,5
2086;29786
2089;29835,5
2090;29852
2091;29868,5
2093;29901,5
2094;29918
2096;29947,4
2097;29962,1
2100;30006,2
2103;30050,3
2105;30079,7
2106;30094,4
2110;30153,2
2111;30167,9
2114;30212
2117;30258,2631578947
2120;30304,5263157895
2122;30335,3684210526
2123;30350,7894736842
2124;30366,2105263158
2128;30427,8947368421
2133;30505
2134;30521,1666666667
2135;30537,3333333333
2136;30553,5
2140;30618,1666666667
2141;30634,3333333333
2143;30666,6666666667
2145;30699
2146;30715,1666666667
2148;30747,5
2151;30796
2157;30887,2631578947
2159;30917,6842105263
2160;30932,8947368421
2164;30993,7368421053
2165;31008,9473684211
2166;31024,1578947368
2170;31085
2171;31101
2172;31117
2173;31133
2176;31181
2177;31197
2178;31213
2181;31261
2182;31277
2183;31293
2185;31325
2186;31341
2187;31357
2192;31430,2
2193;31444,5
2199;31530,3
2200;31544,6
2201;31558,9
2202;31573,2
2204;31601,8
2209;31673,9473684211
2210;31688,8947368421
2211;31703,8421052632
2212;31718,7894736842
2213;31733,7368421053
2215;31763,6315789474
2217;31793,5263157895
2219;31823,4210526316
2221;31853,3157894737
2222;31868,2631578947
2227;31943
2229;31974,3333333333
2230;31990
2232;32021,3333333333
2235;32068,3333333333
2241;32162,3333333333
2245;32225
2246;32239,7894736842
2247;32254,5789473684
2248;32269,3684210526
2250;32298,9473684211
2255;32372,8947368421
2256;32387,6842105263
2257;32402,4736842105
2258;32417,2631578947
2259;32432,0526315789
2260;32446,8421052632
2261;32461,6315789474
2262;32476,4210526316
2263;32491,2105263158
2269;32575,25
2270;32589,1
2272;32616,8
2274;32644,5
2276;32672,2
2278;32699,9
2279;32713,75
2283;32769,15
2286;32813,5555555556
2288;32844,1111111111
2290;32874,6666666667
2291;32889,9444444444
2294;32935,7777777778
2295;32951,0555555556
2301;33042,7222222222
2302;33058
2303;33072,3157894737
2306;33115,2631578947
2307;33129,5789473684
2309;33158,2105263158
2312;33201,1578947368
2319;33301,3684210526
2323;33357,1
2326;33397,75
2327;33411,3
2331;33465,5
2332;33479,05
2333;33492,6
2334;33506,15
2335;33519,7
2339;33573,9
2340;33587,45
2346;33675,1666666667
2347;33690
2348;33704,8333333333
2349;33719,6666666667
2350;33734,5
2351;33749,3333333333
2353;33779
2355;33808,6666666667
2356;33823,5
2358;33853,1666666667
2362;33909,5263157895
2363;33923,3684210526
2368;33992,5789473684
2369;34006,4210526316
2372;34047,9473684211
2373;34061,7894736842
2375;34089,4736842105
2380;34159,8888888889
2384;34217,6666666667
2388;34275,4444444444
2389;34289,8888888889
2396;34391
2397;34404,5263157895
2399;34431,5789473684
2408;34553,3157894737
2411;34593,8947368421
2412;34607,4210526316
2413;34620,9473684211
2414;34634,4736842105
2416;34660,65
2421;34723,9
2422;34736,55
2429;34825,1
2430;34837,75
2431;34850,4
2439;34956,3333333333
2441;34984
2442;34997,8333333333
2443;35011,6666666667
2445;35039,3333333333
2446;35053,1666666667
2447;35067
2449;35094,6666666667
2457;35201,3684210526
2458;35214,2105263158
2459;35227,0526315789
2460;35239,8947368421
2461;35252,7368421053
2468;35342,6315789474
2475;35433,8333333333
2482;35526,7777777778
2490;35633
2496;35703,2
2510;35867
2515;35926,7368421053
2516;35938,6842105263
2521;35998,4210526316
2528;36082,0526315789
2535;36168
2542;36254,3333333333
2550;36349,7894736842
2552;36372,3157894737
2553;36383,5789473684
2554;36394,8421052632
2555;36406,1052631579
2556;36417,3684210526
2564;36507,4736842105
2566;36530
2567;36540,4
2575;36623,6
2589;36771,3333333333
2590;36782,4444444444
2596;36849,1111111111
2598;36871,3333333333
2599;36882,4444444444
2608;36978,4210526316
2614;37039,0526315789
2616;37059,2631578947
2618;37079,4736842105
2629;37185,2
2630;37194,4
2641;37295,6
2642;37304,8
2643;37314
2652;37401,5
2659;37469,5555555556
2665;37524,3684210526
